tgt,src
and leave someone works it,و خلي شي واحد يدير
we wanna see you,بغين نشوفك
How much time till we can see your results? ,شحال ديال الوقت حتى نشوفو نتيج ديالك؟
he is a swimmer,راه عوم
you are too late to bring him with you,تعطلي بزّاف باش تجيبو معاك
do they have a driver,واش عندهم شي شافير
what are you imagining,أش كادبّر ليك
there are small bottles,كاين القراري صغيرين
it made me dizzy,راه لي كانحسني
go do a conference,سير دير ليك كونفرنس
"And yourself, what department do you work for?",و نتا، أشناهيا قسم كايخدم؟
who damaged the door,شكون دحسر الباب
they talk about his death,كايهضرو على وفات
remember when we used to believe that being an adult was all fun ?,عقلتي منين كان كايقولو بلي كون كبر كان كولا ماكرهكش
It's the best I've ever seen,هادا أحسن شي حاجة شفتها
by the way,بالمناسبة
remember when we used to believe in monsters under the bed?,عقلتي ملي كانقولو في الوحوش تحت السرير؟
why don't you want to listen to your teacher talk,علاش مابغيتيش تسمع لراسي ديال المعلم
i be brief,أنا غاتكون قصيرة
you are looking for trouble,نتا كاتبقى فالمشاكل
anyway how are you how's profession school,على كل حال كيفاش نتا؟ كيفاش المدرسة ديال المهن
What's the weather like?,أشمن الجو؟
we're all going to die,غادي يموتو كلنا
i dont know if he will go,ماعرفتش واش غادي يخرج
I'll take pictures,أنا غادي ندير الصور
I'am not complicated like you,أنا ماشي معقدة بحالّك
i dont like to drink coffee from a broken machine,ماكانعجبش بشرب القهوة من الماكينة لي ماتسالي
When will you focus on your priorities?,إمتا غادي ت ركّز على أولىيات ديالك؟
jinxing is real,راه حقيقي
if only I could go to the hospital,كون غير قدرت نمشي لسبيتار
on time,في الوقت
this guy is very nice,راه زوين هاداك راجل
a girl is always going in and out,ديما كايدخل ويكاشف واحد البنت
I saw her sitting there,شفتها كانت ساكنة فدار
Put the chicken pieces in the casserole,خلي الكيسير ديال الدجاج ف القسّر
Probably around 9:00,من المحتمل تقريبا على التاسعة
witness me,شهادتي
go to sleep,سير نعس
why are you wearing like this,علاش كتلسي بحالك
Let me turn off light,خليني نطفّل لور
don't stalk people,بلا ماتتبع الناس
I will be with you after tomorrow,أنا غادي نكون معاك من بعد غدا
minced meat,لحم مشيت
be understanding,كون تفاهم
I dont think he will get along with teacher,مانضنش غادي يتعامل مع المعلم
I'm tempted to smoke,أنا مقترع نستجع
Which country did you enjoy the most?,أشناهيا بلاد عجباتك فيه؟
They always give me extra cakes,ديما كايديرو ليا كيكات زايدة
what does it mean to you to represent your country on the international stage?,اشنو كاتعني ليك تمثيل بلادك فالمرحلة الدولية؟
Draw a line with ruler,رسم شي خط ب لمرك
i'am discussing with my wife ,أنا وراجلي مع زوجتي
What the hell is going on?,اشناهيا كايدي؟
wait me to change my clothes,تسنّا نبدل حوايجي
there is no one to keep me here,ماكاينش تاحد لي يحتفظني هنا
don't be in this situation,بلا ما تكوني ف هاد لوضع
It's all happening so fast!,هادشي كولو كايديرو بزربة!
until i went back,حتى رجعت
Do you understand what I mean?,واش فهمتي أش كانقصد؟
Have you tried to leak an exam,عمرك جربتي تسرب شي امتحان
Come and join me in this place,أجي تجمعيني فهاد البلاصة
How many people?,شحال من ناس؟
I want to buy argan oil,بغيت نشري زيت ديال ارغان
this contractual teacher has bad situation,راه مشكل هاد المعلم ديال معاهد
he did all of this,راه لي كايديو هادشي
if only I could clarify this issue,كون غير قدرت ن توضح هاد القضية
He speaks slow,كايتكلم مع هادك
they make me angry,كايغضباني
i'am hungry is there anything to eat,عندي جوع واش كاين شي حاجة
do sport,دير رياضة
I would not be a good chef if salt was necessary!,ماكنتش طابح مزيانّ إن كان ليك حاجة لحمّر!
I dont think  i will dare you,مانضنش غادي نتحداك
when you have doctor appointement,ملي عندك موعد مع طبيب
i was so scared,كنت خايفة بزاف
He runs fast,كايجري بزربة
i want to be like you,بغيت ندير ليك
I'm waiting for you to appreciate you mother,كانتسنّا فيك ت تقدّر الواليدة ديالك
you should not drink soda,ماعجبكش تشرب الصودا
let's go to shop,أجي نمشيو نتقداو
i wil ldare you to go outside,أنا غادي نسمح ليك تخرج
bring with you groceries,جيب معاك شي حاجة
your experience is unique,تجربتك غير عادية
who gonna cook,شكون غادي يطيب
I wear shorts all the time,كانلبس كولشات كاملين
short-term,فخت
this is a healthy cake,هادا كيك صحي
i took tiramisu,شفتي تيراميسو
i will not say what you want,مابقيتش باغي نڭولك شنو بغيتي
god protect you,الله يحميك
Mind your business,راسك بزّنّاك
Why don't you want to gaze upon,علاش مابغيتيش تفرج ف هادشي
I know what's happening ,أنا عارف شنو كاين
Right I'll do that and then I need to serve the customer who has just come in.,واخا غادي ندير هادشي ومن بعد خاصني نخدم للي كليان لي عاد دخل
tell me your number,عيطي ليا نمر ديالك
count how many gram ,عدت شحال ديال درام
next year i will go to belgium,العام الجاي غادي نمشي لبيلجيم
And prepare a chemistry experiment,و إعد تجربة كيميائية
this is not something you say,هادشي ماشي حاجة تقول
you think very well,راك كادكري بزاف
like this,بحال هادشي
You are right,عندك الحق
he has his cousin,عندو قريب
take care of your son,خلي ولدك
i cant live without you,ماكانقدرش نعيش بلاك
I'm waiting for you to make my kid strong,كانتسنّا فيك ت قاوم ولدي
its imperative we win thisgame,راه محتاجين نربحو هاد لعبة
sab is everything,سب كولا شي حاجة
you are too late to reduce access,تعطلي بزّاف باش تخفض لينا
he is his father,هو والي ديالو
"I understand that, but still, 12/20 for 14 pages, I don't think it's enough.",فهمت هادشي، و لكن مازال، 12/20 على 14 صفحة، مانضنش ماكايبقى.
Could you make me a fruit cake with icing decorations?,تقدر ت دير ليا كيكة ديال الفاكس مع ديكورات ديال الجليد؟
he do ecommerce,راه كايدير التجارة الإلكترونية
