Original English,Translated AR
sould is very precious to god,راه راه راه نفيس عند الله
Do you know?,وتعرف؟
this is wrong,هادشي خاطيء
the alley is full,زقاق كامل
we just killing time with this heat,كانو نقتسم الوقت بزّاف هاد الحرّية
why you dont wanna delived the bread,علاش مابغيتيش تفقس الخبز
You don't want to put you habd on a project,مابغيتيش تضعك على مشروع
perhaps I need to explain,علّيّ علّيّ أن أفسّر ليّ
just you go,واش تا غادي تا غادي
they left a low salary,تركو راتب منخفض
thank you bro,شكرا جزيلا
this place came,هاد المكان هادشي
he want to confuse us,راه يشوّقنا
Who's calling?,مَن غادي؟
you are a competent man,راه راه راه راه
Why don't you want to win money,علاش مابغيتيش تربحو فلوس
I dare you to give me back my ballon,تحداك تعطني ليا ديال ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال
everytone thought im genius,كل واحد كان يظنني عبقرية
they're happy that I give them some bread to throw,واش فرحون بزّاف غادي نديرهم بزّاف
write slowly,دوي ببطو
There's really no one else we can count on in this building!,مانوجد غيرنا نعتمد عليه في هاد المبنى!
"Ok, it can't really make it any worse than it already is, and it's not good for him to be inside all day!",طيب، لا يمكن في الحقيقة جعل ما هو أسوأ مما هو عليه بالفعل، وليس من الجيد بالنسبة له أن يكون في كل يوم!
what do you want now,مابغيتيه الآن؟
you have well educated kids,عندك أطفال متعلمون بزّاف
Are you ready?,هل أنت جاهز؟
"Yes, those are my little pleasures.",نعـم، هـذه ملذاتـي الصـغيرة
i never traveled,أنا ما سافرت
"Yeah, I used to do a lot of things, but after the accident I just saw, I'm not sure I'm gonna make it back so soon!",نعم، كنت أفعل الكثير من الأشياء، ولكن بعد الحادث رأيت للتو، أنا غير متأكد أنا غادي نرجعها في وقت قريب!
i want to help,مابغيته هو المساعدة
just reserve,معلّل بزّاف بزّاف
be courageous,كن شجاعا
without going to another city,مابغيتيش ديال ديال ديال ديال ديال
my mom supports me,أمّي عاونتني
i know your worth,عرفتك بزّاف بزّاف
He rejected Christianity,رفض المسيحية.
may god give you more wealth,ربّ الله يعطيك المزيد من الثروة
the dress look good on you,هاد لباس هاد هادشي عليك
this talk isn't for someone who gets shy,هاد هاد هادشي ماشيش ليا ليا غادي نخشي
whats happening at your house,ماكان يحدث في بيتك
how much is this jean,كَمْ بزّاف هاد الجان
I'm getting off,أنا غادي نمشي
"Something sweet, and something colourful would be nice!",واش شي حلو واش ملون ليكون جميل!
Have you tried living in a storm,واش جربتي تعيشي في عاصفه
i wanna tell you something,أنا غادي ناقولك شي شي حاجة
lets get on good terms,راه نسير على وفاق
Oh I just laugh quietly afterwards at them all.,أنا فقط أضحك بهدوء بعد ذلك فيهم جميعا
thank you miss,شكّر ليك
she has,هادشي ديالها
Why dont you want to start buyylinh,علاش مابغيتيش نبدا بزّاف
where were you before,واش كانك من قبل
That's true.,هاد الحقيقى
i work now,أنا أعمل الآن
Add insult to injury,غادي غادي غادي بزّاف
she became well known,كانت معروفه بزّاف
or join in the the water exercise,أو شارك في التمرينات المائية
I'm ok,أنا بخير
that neighborhood is full of thieves,هادشي ديال حي ديال لسارقة
we are too late,غادينا بزّاف بزّاف
i need to buy hives cream,أنا بحاجة لشراء القشطة الهمجيّة
did you feel scared?,هل شعرتي بالخوف؟
you are too late to give hime hard time,بزّاف بزّاف بزّاف بزّاف باش تعطّي هادشي بزّاف بزّاف
I took so many loans from the bank.,أخذت الكثير من القروض من البنك
The art gallery is just a hundred metres from the bar,معرض الفن على بعد 100 متر من البار
you wont sceed your surgery,مابغيتيش غاديش جراحتك
why you dont wanna surpass this place,علاش مابغيتيش نفوق هاد المكان
how much are you in pain,باش بزّاف بزّاف بزّاف بزّاف بزّاف
if this will make you happy will do it,واش هادا غادي تفرحي غادي نديرها
give me the nail clipper,عطني مقصّر مسمار
Can I sit in this chair?,هل يمكنني الجلوس على هذا الكرسي؟
i dont think he will be precise,مانضنش غادي يكون هادشي
I'm waiting for you to race me,كانتسنّا فيك تسابقني
take care of your brothers,راه إخوتك
"But I can revise outside, there is not a lot of point being stuck in here",و لكن يمكننّا ننقّر خارج، ماشيشي بزّاف بزّاف بزّاف بزّاف هنا
i see my sofas written on,واش راه واش ليا كتبو على
He went to a fashion show,راه بزّاف بزّاف بزّاف بزّاف
it is unusable,هادشي غير صالح
I'm also afraid of flight.,أنا خايف من الطيران.
he passed by fast,و مرّ بزّاف بزّاف
i dont remember what i said,ماتذكرت ماقلته
now this isn't anymore,واش هادشي مابعد
good luck when that hits the front page of the daily papers,حظّاً سعيدّاً باش بزّاف الصفحة الأولى من الجرائد اليوميّة
"If we reach out, maybe they'll come for lunch.",إن تواصلنا، فربّما سيأتون للغذاء.
don't considerate them,واش نديرها
How about we put wheels on your sunbed and I push you around town on it.,ما رأيكم أن نضع العجلات على بزّاف الشمس خاصّتكم و أنا أحركك على المدينة
this is a custom made pants,هاد هاد البزّاف بزّاف بزّاف بزّاف بزّاف
buy them this product,شري لهم هاد المنتج
"Unfortunately, mine is just a normal fork.",لسوء الحظ، مالدي هو مجرد شوكة طبيعية.
i will get the dog's cord,أنا غادي نجلب دوال الكلب
I dont think i will dry up the clothes,مانضنش غادي نجفف الملابس
I get it,هادشي هادشي
I'm waiting for you to rest in holidays,كنت بإنتظارك لترتاح في العطلات
