Original Eng,tgt,src
we can do all of our burgers without onions if you prefer,نقدرو نديرو كل برغر ديالي بلا لبصل إيلا كنتي باغي,Cash flow all the day without a word
i will not fix your bycicle,مابقيتش باغي نسويلك,I'm going to compete with you
if only I could drop this convocation,كون غير قدرت ن تخف هاد الجمع,I can't keep up with this world.
mind your own business,راسك فشي حاجة,You can do whatever you want
Or maybe we could just get back to ourselves?,ولا إمكن نقدرو نرجعو لنفسنا؟,Can't we just get back to ourselves?
I think of hurrying up,تانفكّر واش ندرب,Think and wash
I'm asking for forgiviness of fans,كانطلب المغفرة من الجمهور,He asked the people to forgive him
this is hard for you,هادشي صعيب عليك,This thing is hard on you
why you dont wanna imitate him,علاش مابغيتيش ت تقتع عليه,There is no question that you can't get over it
read this text of rules,قرا هاد نص ديال القوانين,Read this text of the law
you need to calm down,خاصك ت هادري,You are special here
these problems are enough,راه كافي هاد المشاكل,Enough of this trouble
Probably not.,إمكان لا.,I can't.
if only I could be warm in the winters,كون غير قدرت ن حرم ف شتاء,Being unable to harem
i will not give you time,ماغاديش نعطيك والوقت,Magadesh Nazdak and the time
This is the third time the lift has broken in the last two weeks.,هادي المرة التلت لي كسرق المصعد ف هاد الأسبوعين,This is the first time you asked me to steal a lift these two weeks.
dont hate me,ماتكرهنيش,You're not seeing me.
anyway,على هاد الدراري,On this path
don't be arrogant,ماتبغيش تبرز,You're the one who's been out there
if only only i slept better,كون غير قدرت نعس,Be inadequate to sleep
i have nothing to say,ماعنديش حاجة نقولها,What do we need to say?
I'm afraid that's the end of my shift now,خايف هادشي هو نهار ديال نوبتي دابا,Haif Hadeshi is the day of Noobti-Daba
i asked him,سوليت ليه,Solitude for him
they told him,قالو ليهوم,They said to me
are you a coffee or tea person?,واش نتا كايبغ القهوة ولا الشاي؟,Have you ever had coffee or tea?
what do you enjoy doing in your free time?,اشنو كايعجبك دير فالوقت فراسك؟,Why do you have to be late on your holiday?
They were in Africa,كايكونو ف أفريقيا,Like one in Africa
i thought that that house will fall,كان كيسحاب ليا غادي يسدق هاد دار,It was like a love that would have given me this day
i think there is something wrong,كانضن كاين شي حاجة,There was also a need
"I suggest you listen more and talk less, I have to go now",نقترح ليك تسمعو بزاف و تدوّل خفف، خاصني نمشي دابا,"We hope you'll hear a lot and be a little more concerned, especially if you're not going to the party."
I'm thinking if i should buy a new charger,تانفكّر واش نشري شي شارجر جديد,Think about what you're going to do with your new charger.
if one isnt fit,إيلا ماكانش واحد ماشي مناسب,If only one thing would be right
my grandpa has a hoyse in the country side it has cows,جدّي عندو شي دار فبلاد فيها البقر,My grandfather has a little thing in it that is called the al-Bukhar
he become lazy,و كايبقى عرس,And how are you going to stay?
You don't want to fight me ,مابغيتيش ت تحاربي معايا,I won't let you fight with me
did you travel?,واش سفرتي؟,Waste your trip?
"By the way, we're gonna have to dance!","بالمناسبة, غادي نحضر!","By the way, we'll be dead!"
"Hey, you seem to know these dogs",أيه، كايبانك كتعرف هاد الكلاب,"Ah, how do you know these kids?"
it easy for you to accuse people,راه سهل عليك تندم ناس,The way is easy for you and you know
i chose a color,أنا لي اختار لون,I'm the one who chose
he didnt wake up well,راه مافيقش مزيان,A way to make fun
to look for it,باش نڭولها,Starting to see her
how much is this,شحال هادشي,How's this?
i left my wallet at home,خليت المحفظة فدار,The Khaleed of the Fadar
hows your foot,كيفاش كايجيك ليك,How will I get here?
But I really don't want to be on this plane,ولكن أنا بلاش مابغيتش نكون ف هاد الطيارة,But I don't want to be in this plane.
is there a bakery nearby,واش كاين شي بيكاري قريبة,Wash anything you can do soon
the governement need to take action,الحكومة خاصها تحرك,The government has sent you
im getting married,أنا غادي نتزوج,I'm about to get married
i don't want to loose you,مابغيتش نخسرك,Don't you want to see me?
and ate z3lok,و كليت زلوق,And I have done all the work
these are cards,هادا كارت,I'm not going to do it.
this gas has choke me,هاد الغاز خايقني,This is the only thing that I know
god brought you,الله جبتك,God bless you
you have gluten allergy,عندك حساسية من الجلوتين,You have a sensitivity to gluten
Why don't you want to work at the aeroport,علاش مابغيتيش تخدم فالمطار,I hope you will not be left to serve me in the fold
I did not come to eat anything,ماجيتش نتأكل شي حاجة,"I mean, we can 't eat anything"
can you give me a minute of your time,واش ممكن تعطيني دقيقة من وقتك,Could you please give me a minute of your time?
I don't even think I'll have any questions 'cause I understand so little.,مانضنش غادي يكون عندي شي سؤال حيت فهمت شوية,I thought I'd have some questions I've got some understanding
I trust you completely,كانتيق بيك كامل,I could be complete
I lift a heavy bag,كانرفع شي ساكة ثقيلة,I could have raised something heavy
Let me change my mirrors,خليني نبدل ليا لرايا,Let me see you
I still have money left from my birthday,مازال عندي فلوس من عيد ميلادي,I still have the money for Christmas
Wake up!,قاوف!,Stop!
i applied a second strategy,راني كنت قديت ليه شي استراتيجية ثانية,I was just writing him another strategy
where has the respect gone,فين غاتحترم,Finn is gone
he is in love,هو ملي حبّو,He's my lover
how do you always know when i need a comforting hug or a shoulder to lean on?,كيفاش دايما كتعرف إيلا كانحتاج لحبلة مريحة ولا كتف باش نستين عليه؟,How do you always know if you need a comfortable one or how many more you have left on it?
