Original Eng,Translated AR
"Something sweet, and something colourful would be nice!",شي حاجة حلوة، و شي حاجة لونية غادي تكون زوينة!
Have you tried living in a storm,عمرك جربتي تعيش فالعاصفة
i wanna tell you something,بغيت نڭوليك شي حاجة
lets get on good terms,أجي نتفاهم
Oh I just laugh quietly afterwards at them all.,أوه غير كانضحك هادك من بعد على وجهم
thank you miss,شكران ليك ألا سيدة
she has,عندها
Why dont you want to start buyylinh,علاش مابغيتيش تبدا تشري
where were you before,فين كنتي قبل
That's true.,هادي صحيحة.
i work now,أنا خدام دابا
Add insult to injury,زيد إهانة على الإصابة
she became well known,راه معروفة بزّاف
or join in the the water exercise,ولا تشارك فالممارسة ديال الما
I'm ok,أنا بخير
that neighborhood is full of thieves,هاد الحي مليح من اللصوص
we are too late,تعطلي بزّاف
i need to buy hives cream,خاصني نشري ليا كريم ديال البرد
did you feel scared?,واش كنتي خايفة؟
you are too late to give hime hard time,تعطلي بزّاف باش تعطيه الوقت
I took so many loans from the bank.,خديت بزّاف ديال القروض من البنكة.
The art gallery is just a hundred metres from the bar,المتحف ديال الفن بعيد على واحد الميت من البار
you wont sceed your surgery,ماغاديش تمر ليك العملية
why you dont wanna surpass this place,علاش مابغيتيش تسبق هاد البلاصة
how much are you in pain,شحال كايعاني
if this will make you happy will do it,إيلا هادشي غادي يسرك ديرها
give me the nail clipper,عطيني ليا ديك لڭال
Can I sit in this chair?,واش نقدر نجلس ف هاد الكرسي؟
i dont think he will be precise,مانضنش غادي يكون ديق
I'm waiting for you to race me,كانتسنّا فيك ت مسابق معايا
take care of your brothers,خلي على خويا
"But I can revise outside, there is not a lot of point being stuck in here",ولكن أنا نقدر نقرّر ف الخارج، ماكاينش بزاف ديال نقطة لي ماكانش مسدودة هنا
i see my sofas written on,كانشوف الڭافا ديالي مكتوب عليها
He went to a fashion show,مشا لموضة ديال الموضة
it is unusable,ماشي ممكن يستخدمها
I'm also afraid of flight.,أنا حتا أنا خايف من الطيران
he passed by fast,داز فشي طريق
i dont remember what i said,ماعقلتش أش قلت
now this isn't anymore,دابا هادشي ماشي بعد
good luck when that hits the front page of the daily papers,الله يوفق ليك هادشي عندو يصل ل صفحة الأولى ديال الجرائد
"If we reach out, maybe they'll come for lunch.",إيلا وصلنا، إمكان يجيو يتغداو
don't considerate them,بلا ما تعقل عليهوم
How about we put wheels on your sunbed and I push you around town on it.,أش بان ليك نڭاع ليك عجلات على شمشك و ن دفّيك ف المدينة
this is a custom made pants,هادي سروال ديالي ديال البروك
buy them this product,شري ليهم هاد المنتوج
"Unfortunately, mine is just a normal fork.",للأسف، ديالي غير فوكيل عادية.
i will get the dog's cord,أنا غادي نجي ليك سدّ الكلب
I dont think i will dry up the clothes,مانضنش غادي نجف حوايج
I get it,فهمت
I'm waiting for you to rest in holidays,كانتسنّا فيك ت نرتاح ف العطلة
that's the courses,هادوك هي الكورسات
someone needed to step up,شي واحد خاصو يخرج
have you drink something,واش عندك شي حاجة تشربها
what wrong did something happen,شنو خاطب وقع شي حاجة
i always count on you,ديما كانعتمد عليك
i dont think get the paper,مانضنش غادي نتلقو لورقة
this is covered with leather,هادشي كايغطس بالجلد
do what you want,دير داكشي لي بغيتي
second,ثانية
I'm angry,أنا غاضب
i will brush the board,أنا غادي نفرشّي ل ل لبوردا
You don't want to annoy the fans,مابغيتيش ت مزعجّ لراجل
where did they go,فين مشاو
you are too late to wipe the floor,تعطلي بزّاف باش تمسح لفرقة
No problem,ماكاينش مشكل
would you like to do some sport?,واش بغيتي تلعب شي رياضة؟
your place isn't here,بلاصتك ماشي هنا
don't try,ماتجربش
i will not excercice,ماغانسربش
do you know I still don't believe,واش عارفة بلي مازال ماكانقديش
you will sell you,غادي تبيعك
the library was filled with the scent of books,كانت المكتبة ملية ب ريحة ديال كتب
I dont think  the team will qualify,مانضنش غادي يتصفّق ليكا لفرقة
proudness,الفخرة
i should avoid my boss today,خاصني نتجنب راجلي اليوم
What are you thinking about?,اشنو كتفكر ف هادشي؟
you makes us angry,كيعسّنا
you should never sue him,عمرك تقاض عليه
I live in congo ,كانعيش فكونغو
He can not understand,ماكانفهمش
where are you ,فين نتا
She stomped his leg.,دحقت ليه لقدم
you are too late to show up,تعطلي بزّاف باش تظهر
i will go to sleep at my friend house,غادي نمشي نعس فدار صاحبي
money is enough,فلوسّي
the wife aboreted the baby,راه دارت المرا
I understand.,فهمت.
if you have a frigo,إيلا كان عندك فرج
what's the problem?,شنو المشكل؟
i thought that he will touch his pride,كان كيسحاب ليا غادي يلمس شي فخر
i will not bring you a syrop,مابقيتش باغي نجي ليك شي سيروب
That's terrible and knowing that doesn't help my nerves.,هادشي مخيف و معرفة هادشي ماكايساعدش أعصاب ديالي.
don't require a lot of efforts,ماختاجش بزّاف ديال الجهد
go to your uncle,سير عند عمّك
is there someone,واش كاين شي واحد
just come i will bring you,غير جي نجي نجي نجي بيك
i will not shoot these birds,مابقيتش باغي نردّو فهاديك ل طيور
i baked it before,راه كليتها من قبل
we need to clean all fo this,خاصنا نخلصو هادشي كامل
Why don't you want to endure your losses,علاش مابغيتيش تحمّل دكشي لي خايتك
I have a binder,عندي شي ربط
you are too late to get clothes,تعطلي بزّاف باش تجيب حوايج
I need to change my clothes,خاصني نبدل حوايجي
I dare you to object to this topic,نتحداك ت عاود على هاد الموضوع
I missed you,شفتك
What games do you like?,أشمن الألعاب كيعجبك؟
just a little bit enough,غير شوية كافية
i will leave everything inside,أنا غادي نخرج كلشي فداخل
you don't harm people,ماكادخلش ناس
how long is the flight,شحال ديال الوقت هاد الطيارة
today i will put an end to it,اليوم غادي نخرجو
happy holiday,عطلة سعيدة
you should never suffer,عمرك تعاني
You don't want to print,مابغيتيش ت طبّع
what is your favorite way to spend an afternoon?,شنو أحسن طريقة لي كاتقضي واحد العشية؟
