Original English,tgt,src
my phone is off,راه ليا ديال ديال ليا ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,"this is a dial of dial, dial dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial, dial"
like those dont come,هادشي ماندخل,this is not going in
i think of if go on tram,مانفكّر غادي نسير على الترام,i don't think i will go on the tram
did you pack your luggage.,واش تاخد ليا ديالك,don't take your money
bring me with you,جاد ليا معاك,I'm serious with you
our house or  hardwork,ديالنا و ديالنا,our country and our country
Only kidding... but they do allow you to bring your own entertainment if you want,نمزح ولكنّهم سمحو لك بجلب ترفيه خاصّك إن أردت,"I'm joking, but they let you bring your own entertainment if you want."
If we're lucky,لو كنّا محظوظين,If only we were lucky
he is a big cadre on his company,راه راه شي كوادر كبير على شركته,there's a lot of money in his company
He always forgets his purse,دومًا مانسايا محفظته,I always forget his wallet
its 3 days now,هاد 3 أيام,this is three days
I dont think i will get along with you,مانضنش غادي نكمل معاك,i don't think i will continue with you
i want to write that topic,غادي نكتب هاد الموضوع,I'm gonna write this down
this what you have,هادشي ماعندك,that's not what you have
he stood up in front of the judge,كان واقفا في واجهة القاضي,He was standing in front of the judge
Why don't you want to swim in the beach,علاش مابغيتيش تسبحي على الشاطئ,Why don't you want to swim on the beach
do you want tea ?,مابغيتي شاي؟,What do you want tea for?
its sufficient,ماشيش ماكتيش,what are you talking about
he was wearing a red hat,كان يرتدي قبعة حمراء,He was wearing a red hat
But it's not close and I don't know if it's open on Sunday.,و لكنّها غير قريبة و مانعرف إن كانت مفتوحة يوم الأحد,"But it's not close, and we don't know if it's open on Sunday"
it softn skin,راه جلدة هادشي,this is a skin
we can do all of our burgers without onions if you prefer,مانقدر نا غادي نا غادي برغر بلا بزّة,i can't do a burger without a suit
i will not fix your bycicle,مابغيتيش نصلح ليك بخصيتيك,I don't want to fix you with your balls
if only I could drop this convocation,كون غير قدرت نرجع هادشي,if only i could bring this back
mind your own business,ندير عملك الخاص,I'm running your business
Or maybe we could just get back to ourselves?,أو ربّما يمكننا فقط أن نعود لأنفسنا؟,Or maybe we can just go back to ourselves?
I think of hurrying up,مانفكّر بزّاف بزّاف,I'm not thinking too much
I'm asking for forgiviness of fans,أنا باش باش ليا بزّاف من المعجبين,I'm too much of a fan
this is hard for you,هادشي قاس عليك,this is hard for you
why you dont wanna imitate him,علاش مابغيتيش تقليه,Why don't you want to fry him
read this text of rules,قرّر نصّ القواعد هاد,decide the text of the rules
you need to calm down,حاجة تهدّد,you need to threaten
these problems are enough,هادشي المشاكل كافية,That's enough trouble
Probably not.,ماكانو غاديش.,They weren't going to do it.
if only I could be warm in the winters,كون غير قدرت غادي ندفء ف الشاور,if only i could warm up the light
i will not give you time,مانبغيش نمنحك وقت,I don't want to give you time
This is the third time the lift has broken in the last two weeks.,هاد هي المرّة الثالثة التي تعطل فيها المصعد في الأسبوعين الأخيرين,That's the third time the elevator's broken in the last two weeks
dont hate me,واش ماكرهني,What did he hate me
anyway,هادشي,that's why
don't be arrogant,ماشي غاديش,It's not good
if only only i slept better,كون غير قدر غادي ننام بزّاف,if only we will sleep well
i have nothing to say,ماعندي شي ناقوله,I have nothing to say
I'm afraid that's the end of my shift now,خايف هاد هي نهاية نوبتي الآن,this is the end of my shift now
i asked him,أنا غاديته,i used it
they told him,قالو ليه,they told him
are you a coffee or tea person?,هل أنت قهوه أم قهوه؟,Are you coffee or coffee?
what do you enjoy doing in your free time?,واش تستمتعي في وقت فراغك؟,do you enjoy your free time?
They were in Africa,كانو في افريقيا,They were in Africa
i thought that that house will fall,كان ليه هادشي هاد الدار غادي يسقط,i had this house fall
i think there is something wrong,مانضنش شي شي خاطيء,I don't think anything is wrong
"I suggest you listen more and talk less, I have to go now",نقترح أن تسمعي و تثرثري بزّاف، علّيّ أن أذهب الآن,"I suggest you listen and talk too much, I have to go now"
I'm thinking if i should buy a new charger,كنت أفكر إن كان عليّ أن أشتري شاحن جديد,I was thinking if I should buy a new truck
if one isnt fit,واش واحد غير صالح,the one who isn't good
my grandpa has a hoyse in the country side it has cows,جدّي عِنْدَه ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال ديال,My grandfather has a dialdddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd
he become lazy,راه كسول,he is lazy
You don't want to fight me ,مابغيتيش تحاربني,you don't want to fight me
did you travel?,واش سافرتي؟,Have you travelled?
"By the way, we're gonna have to dance!",بالمناسبة، سنرقص!,"By the way, we are going to dance!"
"Hey, you seem to know these dogs",هاي، بدا ليك تعرف هادا الكلاب,"Hey, you seem to know these dogs"
it easy for you to accuse people,من السهل عليك أن تتهم الناس,It's easy for you to accuse people
i chose a color,غادي نختار لونا,we will choose color
he didnt wake up well,ماكان يستيقظ بزّاف,he wasn't waking up too much
to look for it,غادي نلقاها,i will meet her
